wavelength_nm,irradiance_W_m2_nm,photon_flux
643,1.4525,4.70165e+18
644,1.4462,4.68854e+18
645,1.4567,4.72991e+18
646,1.415,4.60164e+18
647,1.4086,4.58791e+18
648,1.3952,4.55129e+18
649,1.3519,4.41685e+18
650,1.3594,4.4482e+18
651,1.4447,4.73458e+18
652,1.3871,4.5528e+18
653,1.4311,4.70442e+18
654,1.4153,4.65961e+18
655,1.3499,4.45109e+18
656,1.1851,3.91365e+18
657,1.2393,4.09888e+18
658,1.3855,4.5894e+18
659,1.3905,4.61296e+18
660,1.3992,4.64887e+18
661,1.3933,4.63628e+18
662,1.3819,4.6053e+18
663,1.3844,4.6206e+18
664,1.3967,4.66868e+18
665,1.4214,4.7584e+18
666,1.4203,4.76187e+18
667,1.4102,4.73511e+18
668,1.415,4.75835e+18
669,1.4394,4.84765e+18
670,1.4196,4.78811e+18
671,1.4169,4.78614e+18
672,1.3972,4.72662e+18
673,1.4094,4.77499e+18
674,1.4074,4.7753e+18
675,1.3958,4.74297e+18
676,1.412,4.80512e+18
677,1.3991,4.76827e+18
678,1.4066,4.80091e+18
679,1.3947,4.76732e+18
680,1.3969,4.78187e+18
681,1.3915,4.77039e+18
682,1.3981,4.80005e+18
683,1.383,4.75517e+18
684,1.3739,4.7308e+18
685,1.3748,4.74082e+18
686,1.3438,4.64068e+18
687,0.96824,3.3486e+18
688,1.1206,3.88117e+18
689,1.1278,3.91178e+18
690,1.1821,4.10607e+18
691,1.2333,4.29013e+18
692,1.2689,4.42035e+18
693,1.2609,4.39883e+18
694,1.2464,4.35452e+18
695,1.2714,4.44826e+18
696,1.2684,4.44415e+18
697,1.3403,4.70282e+18
698,1.3192,4.63542e+18
699,1.2918,4.54565e+18
700,1.2823,4.51867e+18
701,1.2659,4.46725e+18
702,1.2674,4.47893e+18
703,1.2747,4.51114e+18
704,1.3078,4.63487e+18
705,1.3214,4.68972e+18
706,1.3144,4.67149e+18
707,1.309,4.65889e+18
708,1.3048,4.65051e+18
709,1.3095,4.67385e+18
710,1.3175,4.70904e+18
711,1.3155,4.70851e+18
712,1.3071,4.68503e+18
713,1.2918,4.63669e+18
714,1.3029,4.68309e+18
715,1.2587,4.53056e+18
716,1.2716,4.58339e+18
717,1.1071,3.99604e+18
718,1.0296,3.72148e+18
719,0.92318,3.34148e+18
720,0.9855,3.57201e+18
721,1.0861,3.94211e+18
722,1.2407,4.50949e+18
723,1.1444,4.16523e+18
724,1.0555,3.84698e+18
