block,row,dir,set,tta,status,n,mae,rmse,rho_pooled,rms_s_over_rmse,picp_1s,picp_2s,picp_3s,mean_E,se_E,max_E,n_claimable,true_col
surrogate,#22 recon multi-task,recon_mtl,test,off,done,272,0.005471166223287582,0.006879442371428013,0.6912293558441801,0.9870078769471533,0.6470588235294118,0.9485294117647058,0.9963235294117647,,,,,
surrogate,#22 recon multi-task,recon_mtl,test,on,done,272,0.005463034845888615,0.006879339925944805,0.7023399923469356,0.9902423769415979,0.6507352941176471,0.9485294117647058,0.9963235294117647,,,,,
surrogate,#23 structure factor only,fft_only,test,off,done,272,0.005781583022326231,0.007403970696032047,0.6641740896601123,0.9636484643368332,0.6617647058823529,0.9448529411764706,0.9963235294117647,,,,,
surrogate,#23 structure factor only,fft_only,test,on,done,272,0.005807745270431042,0.007437068969011307,0.6590367659301483,0.963009041897481,0.6654411764705882,0.9485294117647058,0.9963235294117647,,,,,
surrogate,#24 self-attn (stage 4 only),attn_sa4,test,off,done,272,0.005940438248217106,0.00757093820720911,0.6382728590622161,1.1458878100799916,0.7205882352941176,0.9742647058823529,1.0,,,,,
surrogate,#24 self-attn (stage 4 only),attn_sa4,test,on,done,272,0.005883853416889906,0.007464704569429159,0.6457331901806382,1.1789522000512653,0.7389705882352942,0.9816176470588235,1.0,,,,,
surrogate,#25 replicate (init seeds +1000),seed_rep1,test,off,done,272,0.005388112738728523,0.0068246047012507915,0.6918924240521513,1.0021845385083934,0.6617647058823529,0.9595588235294118,0.9963235294117647,,,,,
surrogate,#25 replicate (init seeds +1000),seed_rep1,test,on,done,272,0.005351545289158821,0.006804592441767454,0.6925949634654787,1.0069858851355231,0.6580882352941176,0.9558823529411765,0.9963235294117647,,,,,
surrogate,#25 replicate (init seeds +2000),seed_rep2,test,off,done,272,0.005540594458580017,0.006990726105868816,0.6742176268876209,0.9977446083156203,0.6654411764705882,0.9485294117647058,0.9963235294117647,,,,,
surrogate,#25 replicate (init seeds +2000),seed_rep2,test,on,done,272,0.005556908436119556,0.007023949176073074,0.6799072527969815,0.993896902481441,0.6617647058823529,0.9522058823529411,0.9963235294117647,,,,,
surrogate,#15 cell holdout (jitter_s0125),holdout_jitter_s0125,holdout_jitter_s0125,off,done,155,0.005623199045658112,0.007039541844278574,0.6730140826915021,1.068471878677285,0.7096774193548387,0.9741935483870968,1.0,,,,,
